data,unidade,quantidade,mediaMovel
03/06/2022,Total unificado,412,473.15
04/06/2022,Total unificado,513,458.0
05/06/2022,Total unificado,435,447.43
06/06/2022,Total unificado,532,460.72
07/06/2022,Total unificado,508,470.72
08/06/2022,Total unificado,576,481.0
09/06/2022,Total unificado,493,495.58
10/06/2022,Total unificado,592,521.29
11/06/2022,Total unificado,515,521.58
12/06/2022,Total unificado,301,502.43
13/06/2022,Total unificado,439,489.15
14/06/2022,Total unificado,433,478.43
15/06/2022,Total unificado,700,496.15
16/06/2022,Total unificado,664,520.58
17/06/2022,Total unificado,553,515.0
18/06/2022,Total unificado,504,513.43
19/06/2022,Total unificado,589,554.58
20/06/2022,Total unificado,568,573.0
21/06/2022,Total unificado,600,596.86
22/06/2022,Total unificado,534,573.15
23/06/2022,Total unificado,513,551.58
24/06/2022,Total unificado,529,548.15
25/06/2022,Total unificado,689,574.58
26/06/2022,Total unificado,611,577.72
27/06/2022,Total unificado,654,590.0
28/06/2022,Total unificado,627,593.86
29/06/2022,Total unificado,775,628.29
30/06/2022,Total unificado,603,641.15
01/07/2022,Total unificado,526,640.72
02/07/2022,Total unificado,667,637.58
03/07/2022,Total unificado,576,632.58
04/07/2022,Total unificado,641,630.72
05/07/2022,Total unificado,666,636.29
06/07/2022,Total unificado,572,607.29
07/07/2022,Total unificado,440,584.0
08/07/2022,Total unificado,518,582.86
09/07/2022,Total unificado,451,552.0
10/07/2022,Total unificado,555,549.0
11/07/2022,Total unificado,484,526.58
12/07/2022,Total unificado,594,516.29
13/07/2022,Total unificado,523,509.29
14/07/2022,Total unificado,371,499.43
15/07/2022,Total unificado,268,463.72
16/07/2022,Total unificado,335,447.15
17/07/2022,Total unificado,353,418.29
18/07/2022,Total unificado,362,400.86
19/07/2022,Total unificado,376,369.72
20/07/2022,Total unificado,428,356.15
21/07/2022,Total unificado,361,354.72
22/07/2022,Total unificado,369,369.15
23/07/2022,Total unificado,315,366.29
24/07/2022,Total unificado,284,356.43
25/07/2022,Total unificado,213,335.15
26/07/2022,Total unificado,275,320.72
27/07/2022,Total unificado,283,300.0
28/07/2022,Total unificado,271,287.15
29/07/2022,Total unificado,239,268.58
30/07/2022,Total unificado,252,259.58
31/07/2022,Total unificado,195,246.86
01/08/2022,Total unificado,246,251.58
02/08/2022,Total unificado,328,259.15
03/08/2022,Total unificado,270,257.29
04/08/2022,Total unificado,218,249.72
05/08/2022,Total unificado,255,252.0
06/08/2022,Total unificado,227,248.43
07/08/2022,Total unificado,205,249.86
08/08/2022,Total unificado,269,253.15
09/08/2022,Total unificado,322,252.29
10/08/2022,Total unificado,348,263.43
11/08/2022,Total unificado,199,260.72
12/08/2022,Total unificado,230,257.15
13/08/2022,Total unificado,236,258.43
14/08/2022,Total unificado,143,249.58
15/08/2022,Total unificado,246,246.29
16/08/2022,Total unificado,350,250.29
17/08/2022,Total unificado,381,255.0
18/08/2022,Total unificado,247,261.86
19/08/2022,Total unificado,237,262.86
20/08/2022,Total unificado,286,270.0
21/08/2022,Total unificado,220,281.0
22/08/2022,Total unificado,315,290.86
23/08/2022,Total unificado,309,285.0
24/08/2022,Total unificado,340,279.15
25/08/2022,Total unificado,253,280.0
26/08/2022,Total unificado,237,280.0
27/08/2022,Total unificado,261,276.43
28/08/2022,Total unificado,204,274.15
29/08/2022,Total unificado,223,261.0
30/08/2022,Total unificado,304,260.29
31/08/2022,Total unificado,286,252.58
01/09/2022,Total unificado,248,251.86
02/09/2022,Total unificado,221,249.58
03/09/2022,Total unificado,219,243.58
04/09/2022,Total unificado,197,242.58
05/09/2022,Total unificado,306,254.43
06/09/2022,Total unificado,295,253.15
07/09/2022,Total unificado,249,247.86
08/09/2022,Total unificado,274,251.58
09/09/2022,Total unificado,277,259.58
10/09/2022,Total unificado,183,254.43
11/09/2022,Total unificado,129,244.72
12/09/2022,Total unificado,246,236.15
13/09/2022,Total unificado,284,234.58
14/09/2022,Total unificado,324,245.29
15/09/2022,Total unificado,208,235.86
16/09/2022,Total unificado,221,227.86
17/09/2022,Total unificado,176,226.86
18/09/2022,Total unificado,144,229.0
19/09/2022,Total unificado,222,225.58
20/09/2022,Total unificado,294,227.0
21/09/2022,Total unificado,281,220.86
22/09/2022,Total unificado,194,218.86
23/09/2022,Total unificado,222,219.0
24/09/2022,Total unificado,262,231.29
25/09/2022,Total unificado,132,229.58
26/09/2022,Total unificado,231,230.86
27/09/2022,Total unificado,222,220.58
28/09/2022,Total unificado,315,225.43
29/09/2022,Total unificado,221,229.29
30/09/2022,Total unificado,279,237.43
01/10/2022,Total unificado,171,224.43
02/10/2022,Total unificado,93,218.86
03/10/2022,Total unificado,180,211.58
04/10/2022,Total unificado,173,204.58
05/10/2022,Total unificado,244,194.43
06/10/2022,Total unificado,205,192.15
07/10/2022,Total unificado,177,177.58
08/10/2022,Total unificado,158,175.72
09/10/2022,Total unificado,113,178.58
10/10/2022,Total unificado,203,181.86
11/10/2022,Total unificado,223,189.0
12/10/2022,Total unificado,165,177.72
13/10/2022,Total unificado,158,171.0
14/10/2022,Total unificado,184,172.0
15/10/2022,Total unificado,111,165.29
16/10/2022,Total unificado,145,169.86
17/10/2022,Total unificado,271,179.58
18/10/2022,Total unificado,223,179.58
19/10/2022,Total unificado,315,201.0
20/10/2022,Total unificado,214,209.0
21/10/2022,Total unificado,265,220.58
22/10/2022,Total unificado,141,224.86
23/10/2022,Total unificado,141,224.29
24/10/2022,Total unificado,199,214.0
25/10/2022,Total unificado,303,225.43
26/10/2022,Total unificado,293,222.29
27/10/2022,Total unificado,213,222.15
28/10/2022,Total unificado,189,211.29
29/10/2022,Total unificado,149,212.43
30/10/2022,Total unificado,129,210.72
31/10/2022,Total unificado,173,207.0
01/11/2022,Total unificado,234,197.15
02/11/2022,Total unificado,242,189.86
03/11/2022,Total unificado,270,198.0
04/11/2022,Total unificado,265,208.86
05/11/2022,Total unificado,250,223.29
06/11/2022,Total unificado,162,228.0
07/11/2022,Total unificado,205,232.58
08/11/2022,Total unificado,213,229.58
09/11/2022,Total unificado,307,238.86
10/11/2022,Total unificado,294,242.29
11/11/2022,Total unificado,262,241.86
12/11/2022,Total unificado,246,241.29
13/11/2022,Total unificado,222,249.86
14/11/2022,Total unificado,332,268.0
15/11/2022,Total unificado,378,291.58
16/11/2022,Total unificado,662,342.29
17/11/2022,Total unificado,490,370.29
18/11/2022,Total unificado,563,413.29
19/11/2022,Total unificado,518,452.15
20/11/2022,Total unificado,609,507.43
21/11/2022,Total unificado,826,578.0
22/11/2022,Total unificado,1016,669.15
23/11/2022,Total unificado,992,716.29
24/11/2022,Total unificado,623,735.29
25/11/2022,Total unificado,749,761.86
26/11/2022,Total unificado,195,715.72
