mes,ds_mes,2020,2021,2022
01,janeiro,5349.0,15947.0,37914.0
02,fevereiro,9445.0,24469.0,8122.0
03,março,13103.0,24973.0,11695.0
04,abril,16241.0,24793.0,15992.0
05,maio,12936.0,24646.0,15141.0
06,junho,5497.0,18227.0,16357.0
07,julho,7205.0,11943.0,12763.0
08,agosto,6288.0,9537.0,8195.0
09,setembro,4460.0,7862.0,7076.0
10,outubro,6452.0,8518.0,5921.0
11,novembro,9575.0,6540.0,11125.0
12,dezembro,11494.0,27847.0,
