mes,ds_mes,2020,2021,2022
01,janeiro,,4453.0,10067.0
02,fevereiro,4096.0,8522.0,-29792.0
03,março,3658.0,504.0,3573.0
04,abril,3138.0,-180.0,4297.0
05,maio,-3305.0,-147.0,-851.0
06,junho,-7439.0,-6419.0,1216.0
07,julho,1708.0,-6284.0,-3594.0
08,agosto,-917.0,-2406.0,-4568.0
09,setembro,-1828.0,-1675.0,-1119.0
10,outubro,1992.0,656.0,-1155.0
11,novembro,3123.0,-1978.0,5717.0
12,dezembro,1919.0,21307.0,
